customerid,churn,customer_tenure,account_contract,account_charges_monthly,account_charges_total,internet_internetservice,internet_onlinesecurity,internet_techsupport,internet_deviceprotection,cuentas_diarias
1399-OUPJN,0,57,Two year,19.75,1272.05,No,0,0,0,0.66
1399-UBQIU,0,11,Month-to-month,69.35,712.25,DSL,0,0,1,2.31
1400-MMYXY,1,3,Month-to-month,105.9,334.65,Fiber optic,0,0,1,3.53
1400-WIVLL,0,57,Two year,107.95,5969.85,Fiber optic,0,1,1,3.6
1401-FTHFQ,0,23,One year,20.0,445.3,No,0,0,0,0.67
1402-PTHGN,0,18,One year,61.5,1087.45,DSL,1,1,0,2.05
1403-GYAFU,0,70,Two year,20.05,1360.25,No,0,0,0,0.67
1403-LKLIK,0,33,One year,20.1,579.4,No,0,0,0,0.67
1406-PUQVY,0,1,Month-to-month,49.9,49.9,DSL,0,0,0,1.66
1407-DIGZV,0,3,Two year,19.1,52.0,No,0,0,0,0.64
1409-PHXTF,0,54,Two year,110.45,6077.75,Fiber optic,0,1,1,3.68
1410-RSCMR,0,7,Month-to-month,71.35,515.75,DSL,1,1,1,2.38
1414-YADCW,0,70,Two year,84.6,5706.2,Fiber optic,1,1,0,2.82
1415-YFWLT,1,1,Month-to-month,89.3,89.3,Fiber optic,0,0,0,2.98
1421-HCERK,0,30,Month-to-month,105.7,3181.8,Fiber optic,1,1,1,3.52
1422-DGUBX,0,32,One year,79.25,2619.15,Fiber optic,0,1,0,2.64
1423-BMPBQ,0,1,Month-to-month,19.0,19.0,No,0,0,0,0.63
1427-VERSM,0,56,Month-to-month,98.7,5669.5,Fiber optic,0,1,1,3.29
1428-GTBJJ,1,11,Month-to-month,74.55,824.75,Fiber optic,0,0,0,2.48
1428-IEDPR,0,52,Two year,109.3,5731.4,Fiber optic,1,1,1,3.64
1429-UYJSV,0,12,One year,19.7,260.9,No,0,0,0,0.66
1430-SFQSA,0,29,One year,35.6,1072.6,DSL,1,1,0,1.19
1431-AIDJQ,0,33,Two year,82.1,2603.1,DSL,0,1,1,2.74
1431-CYWMH,0,22,Month-to-month,19.05,454.05,No,0,0,0,0.64
1432-FPAXX,1,29,Month-to-month,30.6,856.35,DSL,0,0,0,1.02
1436-ZMJAN,0,10,Month-to-month,67.8,653.15,DSL,0,0,1,2.26
1439-LCGVL,0,26,One year,19.2,459.6,No,0,0,0,0.64
1442-BQPVU,0,13,Month-to-month,29.15,357.15,DSL,0,0,0,0.97
1442-OKRJE,0,66,One year,103.15,7031.3,Fiber optic,1,0,1,3.44
1444-VVSGW,1,70,One year,115.65,7968.85,Fiber optic,1,1,1,3.86
1447-GIQMR,1,1,Month-to-month,69.15,69.15,Fiber optic,0,0,0,2.31
1447-PJGGA,1,57,Two year,95.25,5464.65,Fiber optic,0,0,1,3.18
1448-CYWKC,0,58,One year,105.2,6225.4,Fiber optic,0,0,1,3.51
1448-PWKYE,1,1,Month-to-month,80.0,80.0,Fiber optic,0,0,0,2.67
1449-XQEMT,1,3,Month-to-month,19.8,58.15,No,0,0,0,0.66
1450-GALXR,1,10,Month-to-month,98.5,1058.25,Fiber optic,0,1,0,3.28
1450-SKCVI,1,56,Month-to-month,73.85,4092.85,Fiber optic,0,0,0,2.46
1452-KIOVK,0,22,Month-to-month,89.1,1949.4,Fiber optic,0,0,0,2.97
1452-UZOSF,0,72,Two year,106.1,7548.6,Fiber optic,1,1,1,3.54
1452-VOQCH,0,1,Month-to-month,75.1,75.1,Fiber optic,0,0,0,2.5
1452-XRSJV,0,39,Month-to-month,51.05,2066.0,DSL,1,0,0,1.7
1453-RZFON,0,1,Month-to-month,49.9,49.9,DSL,1,0,0,1.66
1455-ESIQH,1,1,Month-to-month,89.1,89.1,Fiber optic,0,0,0,2.97
1455-HFBXA,0,52,Two year,91.6,4627.8,Fiber optic,1,1,1,3.05
1455-UGQVH,1,10,Month-to-month,98.5,1037.75,Fiber optic,0,0,1,3.28
1456-TWCGB,0,4,Month-to-month,49.25,208.45,DSL,0,0,0,1.64
1459-QNFQT,0,70,Two year,59.5,4144.8,DSL,1,1,1,1.98
1460-UZPRJ,0,60,Two year,19.95,1258.15,No,0,0,0,0.66
1465-LNTLJ,0,8,Month-to-month,64.4,581.7,DSL,0,1,1,2.15
1465-VINDH,1,10,Month-to-month,102.1,1068.85,Fiber optic,0,0,1,3.4
1465-WCZVT,0,3,Month-to-month,19.65,60.65,No,0,0,0,0.65
1468-DEFNC,0,64,Two year,24.4,1548.65,No,0,0,0,0.81
1469-LBJQJ,0,66,Month-to-month,105.2,6936.85,Fiber optic,0,0,1,3.51
1470-PSXNM,0,49,One year,93.65,4520.15,Fiber optic,0,0,1,3.12
1471-GIQKQ,0,1,Month-to-month,49.95,49.95,DSL,0,0,0,1.66
1472-TNCWL,0,36,Month-to-month,94.7,3512.5,Fiber optic,0,0,0,3.16
1474-JUWSM,0,58,One year,68.4,3972.25,DSL,1,1,0,2.28
1475-VWVDO,0,7,Month-to-month,74.9,490.55,Fiber optic,0,0,1,2.5
1478-VPOAD,0,1,Month-to-month,43.8,43.8,DSL,0,0,0,1.46
1480-BKXGA,0,72,Two year,116.05,8404.9,Fiber optic,1,1,1,3.87
1480-IVEVR,0,35,One year,81.6,2815.25,Fiber optic,0,0,1,2.72
1481-ZUWZA,1,28,Month-to-month,94.5,2659.4,Fiber optic,1,0,0,3.15
1482-OXZSY,0,30,Month-to-month,100.4,2936.25,Fiber optic,1,0,0,3.35
1485-YDHMM,0,52,Month-to-month,93.25,4631.7,Fiber optic,0,1,0,3.11
1488-PBLJN,0,72,Two year,116.85,8477.7,Fiber optic,1,1,1,3.9
1488-SYSFC,0,31,Month-to-month,20.65,702.05,No,0,0,0,0.69
1492-KGETH,0,70,One year,78.35,5445.95,DSL,1,1,1,2.61
1492-QGCLU,0,53,Month-to-month,85.7,4616.1,DSL,1,1,1,2.86
1493-AMTIE,1,1,Month-to-month,20.2,20.2,No,0,0,0,0.67
1494-EJZDW,0,10,Two year,20.15,220.8,No,0,0,0,0.67
1496-GGSUK,1,1,Month-to-month,25.7,25.7,DSL,0,0,0,0.86
1498-DQNRX,0,29,Month-to-month,19.85,573.05,No,0,0,0,0.66
1498-NHTLT,0,59,Two year,86.75,5186.0,DSL,1,1,1,2.89
1501-SGHBW,1,2,Month-to-month,45.85,81.0,DSL,0,0,0,1.53
1502-XFCVR,1,58,One year,106.45,6145.85,Fiber optic,1,0,1,3.55
1506-YJTYT,0,45,Two year,73.85,3371.0,DSL,1,1,0,2.46
1508-DFXCU,0,12,Month-to-month,81.45,912.0,Fiber optic,0,0,0,2.72
1513-XNPPH,1,12,Month-to-month,89.4,1095.65,Fiber optic,0,1,1,2.98
1518-OMDIK,0,33,Month-to-month,44.55,1462.6,DSL,0,0,0,1.48
1518-VOWAV,1,9,Month-to-month,74.65,703.55,DSL,1,0,0,2.49
1522-VVDMG,1,7,Month-to-month,89.75,608.8,Fiber optic,0,1,0,2.99
1525-LNLOJ,0,66,Two year,63.3,4189.7,DSL,0,0,1,2.11
1527-SXDPN,1,52,Two year,96.25,4990.25,Fiber optic,0,1,1,3.21
1530-ZTDOZ,0,49,Month-to-month,40.65,2070.75,DSL,1,0,0,1.36
1534-OULXE,0,61,One year,49.7,2961.4,DSL,1,0,0,1.66
1535-VTJOQ,0,24,Two year,25.15,553.0,No,0,0,0,0.84
1536-HBSWP,0,1,Month-to-month,49.9,49.9,DSL,0,1,0,1.66
1536-YHDOE,0,17,One year,62.1,1096.65,DSL,1,1,0,2.07
1539-LNKHM,0,12,Month-to-month,20.4,266.6,No,0,0,0,0.68
1541-ETJZO,1,1,Month-to-month,62.05,62.05,DSL,0,1,1,2.07
1543-LLLFT,0,61,One year,98.3,6066.55,Fiber optic,0,1,1,3.28
1544-JJMYL,0,27,One year,69.35,1927.3,DSL,1,1,1,2.31
1545-ACTAS,0,48,One year,99.7,4977.2,Fiber optic,1,0,1,3.32
1545-JFUML,0,71,Two year,99.0,6994.6,Fiber optic,1,0,1,3.3
1548-ARAGG,0,4,Month-to-month,58.5,224.85,DSL,0,1,0,1.95
1548-FEHVL,0,61,Month-to-month,106.2,6375.2,Fiber optic,1,0,0,3.54
1550-EENBN,0,31,Month-to-month,104.35,3205.6,Fiber optic,1,0,0,3.48
1550-LOAHA,1,32,Month-to-month,84.15,2585.95,Fiber optic,0,0,0,2.8
1552-AAGRX,0,30,Month-to-month,106.4,3211.9,Fiber optic,1,1,0,3.55
1552-CZCLL,0,55,Month-to-month,20.0,1087.25,No,0,0,0,0.67
1552-TKMXS,0,42,Month-to-month,20.35,869.9,No,0,0,0,0.68
1555-DJEQW,1,70,Two year,114.2,7723.9,Fiber optic,1,1,1,3.81
1555-HAPSU,0,71,Two year,23.9,1663.5,No,0,0,0,0.8
1557-EMYVT,0,43,Two year,115.05,4895.1,Fiber optic,1,1,1,3.84
1559-DTODC,0,19,Month-to-month,25.15,468.35,DSL,0,0,0,0.84
1561-BWHIN,0,19,One year,19.8,344.5,No,0,0,0,0.66
1563-IWQEX,0,12,Month-to-month,19.7,220.35,No,0,0,0,0.66
1564-HJUVY,0,4,Month-to-month,63.75,226.2,DSL,0,1,0,2.12
1564-NTYXF,1,13,Month-to-month,82.0,1127.2,Fiber optic,0,0,0,2.73
1565-RHDJD,1,4,Month-to-month,84.05,333.55,Fiber optic,0,0,1,2.8
1567-DSCIC,1,8,Month-to-month,94.0,773.65,Fiber optic,0,0,1,3.13
1568-BEKZM,0,70,Two year,90.05,6333.4,DSL,1,1,1,3.0
1568-LJSZU,0,68,Two year,92.2,6392.85,DSL,1,1,1,3.07
1569-TTNYJ,1,5,Month-to-month,78.75,412.1,Fiber optic,0,0,0,2.62
1571-SAVHK,1,12,Month-to-month,99.95,1132.75,Fiber optic,0,1,0,3.33
1573-LGXBA,0,57,One year,97.55,5598.0,Fiber optic,0,0,1,3.25
1574-DYCWE,0,51,Two year,19.95,1028.75,No,0,0,0,0.66
1575-KRZZE,0,4,Month-to-month,55.2,220.65,DSL,1,0,0,1.84
1576-PFZIW,0,70,Two year,105.35,7511.9,Fiber optic,1,0,1,3.51
1577-HKTFG,1,30,Month-to-month,19.65,655.85,No,0,0,0,0.65
1579-KLYDT,1,7,Month-to-month,90.45,593.45,Fiber optic,0,0,1,3.02
1580-BMCMR,0,19,Month-to-month,87.3,1637.3,Fiber optic,1,0,0,2.91
1582-RAFML,1,1,Month-to-month,60.1,60.1,DSL,0,1,0,2.0
1583-IHQZE,1,12,Month-to-month,112.95,1384.75,Fiber optic,0,1,1,3.76
1585-MQSSU,1,17,Month-to-month,51.5,900.5,DSL,0,1,0,1.72
1587-FKLZB,1,66,Month-to-month,99.5,6822.15,Fiber optic,0,0,1,3.32
1589-AGTLK,1,3,Month-to-month,45.35,141.5,DSL,0,0,0,1.51
1591-MQJTP,0,51,One year,93.65,4839.15,Fiber optic,1,0,1,3.12
1591-NFNLQ,1,51,Month-to-month,80.0,4242.35,Fiber optic,0,0,1,2.67
1591-XWLGB,0,71,Two year,19.85,1379.6,No,0,0,0,0.66
1596-BBVTG,1,35,Month-to-month,75.35,2636.05,Fiber optic,0,0,0,2.51
1596-OQSPS,0,11,Month-to-month,51.1,531.15,DSL,0,0,0,1.7
1597-FZREH,1,2,Month-to-month,76.4,160.8,DSL,0,1,1,2.55
1597-LHYNC,1,26,Month-to-month,95.0,2497.2,Fiber optic,1,0,0,3.17
1599-EAHXY,0,60,One year,23.95,1506.4,No,0,0,0,0.8
1599-MMYRQ,0,62,One year,81.45,4983.05,Fiber optic,1,0,0,2.72
1600-DILPE,0,12,Month-to-month,45.0,524.35,DSL,0,0,0,1.5
1602-IJQQE,1,4,Month-to-month,75.35,338.1,Fiber optic,0,0,0,2.51
1608-GMEWB,0,45,Month-to-month,93.9,4200.25,Fiber optic,0,0,0,3.13
1612-EOHDH,1,1,Month-to-month,45.15,45.15,DSL,0,0,0,1.5
1614-JBEBI,0,8,Month-to-month,20.7,137.6,No,0,0,0,0.69
1618-CFHME,1,2,Month-to-month,75.9,143.35,Fiber optic,0,0,0,2.53
1619-YWUBB,0,68,Two year,24.95,1614.9,No,0,0,0,0.83
1621-YNCJH,0,36,Two year,106.05,3834.4,Fiber optic,1,1,1,3.53
1622-HSHSF,0,1,Month-to-month,19.55,19.55,No,0,0,0,0.65
1623-NLDOT,1,42,One year,33.55,1445.3,DSL,0,1,0,1.12
1624-NALOJ,1,5,Month-to-month,89.8,502.6,Fiber optic,0,0,0,2.99
1624-WOIWJ,1,10,Month-to-month,84.7,832.05,Fiber optic,1,0,0,2.82
1625-JAIIY,1,68,One year,83.0,5685.8,Fiber optic,0,0,0,2.77
1626-ERCMM,1,20,Month-to-month,94.55,1899.65,Fiber optic,0,0,0,3.15
1627-AFWVJ,0,29,Two year,19.4,554.25,No,0,0,0,0.65
1628-BIZYP,0,1,Month-to-month,85.0,85.0,Fiber optic,0,0,0,2.83
1629-DQQVB,0,14,Month-to-month,50.1,709.5,DSL,1,0,0,1.67
1635-FJFCC,0,5,Month-to-month,44.05,202.15,DSL,0,0,0,1.47
1635-HDGFT,0,19,Two year,20.5,398.55,No,0,0,0,0.68
1635-NZATJ,0,71,Two year,25.45,1789.65,No,0,0,0,0.85
1636-NTNCO,0,4,Month-to-month,50.95,207.35,DSL,0,0,0,1.7
1640-PLFMP,0,1,Month-to-month,70.25,70.25,Fiber optic,0,0,0,2.34
1641-BYBTK,0,6,Month-to-month,20.2,98.35,No,0,0,0,0.67
1641-RQDAY,0,32,Month-to-month,100.4,3217.65,Fiber optic,0,0,0,3.35
1642-HMARX,0,68,Two year,91.7,6424.7,DSL,1,1,1,3.06
1644-IRKSF,1,33,One year,93.8,3124.5,Fiber optic,0,0,1,3.13
1656-DRSMG,0,63,Month-to-month,109.85,7002.95,Fiber optic,0,1,1,3.66
1657-DYMBM,0,53,Two year,19.9,1110.05,No,0,0,0,0.66
1658-BYGOY,1,18,Month-to-month,95.45,1752.55,Fiber optic,0,0,0,3.18
1658-TJVOA,0,6,Month-to-month,74.1,450.9,Fiber optic,1,0,0,2.47
1658-XUHBX,0,59,Month-to-month,88.75,5348.65,Fiber optic,0,0,1,2.96
1660-HSOOQ,1,1,Month-to-month,49.65,49.65,DSL,0,0,1,1.66
1661-CZBAU,0,48,One year,70.95,3629.2,DSL,1,1,0,2.37
1663-MHLHE,0,1,Month-to-month,19.2,19.2,No,0,0,0,0.64
1666-JXLKU,0,37,Month-to-month,100.05,3810.55,Fiber optic,0,0,1,3.34
1666-JZPZT,0,27,Month-to-month,49.0,1291.35,DSL,0,0,0,1.63
1670-SVOWZ,1,14,Month-to-month,89.65,1208.35,Fiber optic,0,1,0,2.99
1676-MQAOA,0,72,Two year,75.1,5336.35,DSL,1,1,1,2.5
1678-FYZOW,1,3,Month-to-month,79.4,244.65,Fiber optic,0,0,0,2.65
1679-JRFBR,0,70,One year,108.15,7930.55,Fiber optic,1,0,1,3.6
1680-VDCWW,0,12,One year,19.8,202.25,No,0,0,0,0.66
1682-VCOIO,0,23,One year,20.45,481.1,No,0,0,0,0.68
1684-FLBGS,0,23,Month-to-month,69.5,1652.1,DSL,0,1,0,2.32
1685-BQULA,0,40,Month-to-month,93.4,3756.4,Fiber optic,0,0,1,3.11
1685-VAYJF,0,11,Month-to-month,45.2,492.0,DSL,0,0,0,1.51
1686-STUHN,0,42,One year,19.8,849.9,No,0,0,0,0.66
1689-MRZQR,1,34,Month-to-month,78.3,2564.3,Fiber optic,0,0,0,2.61
1689-YQBYY,0,12,Month-to-month,76.6,893.0,Fiber optic,0,0,0,2.55
1696-HXOWK,0,71,One year,95.65,6856.95,Fiber optic,1,0,0,3.19
1696-MZVAU,0,39,One year,25.25,947.75,DSL,0,0,0,0.84
1697-BCSHV,0,58,Month-to-month,66.8,3970.4,DSL,0,0,0,2.23
1697-LYYYX,0,61,One year,19.1,1143.8,No,0,0,0,0.64
1697-NVVGY,0,19,Month-to-month,66.4,1286.05,DSL,1,0,1,2.21
1698-XFZCI,0,61,One year,107.75,6521.9,Fiber optic,1,0,1,3.59
1699-HPSBG,1,12,One year,59.8,727.8,DSL,0,1,0,1.99
1699-TLDLZ,0,16,Two year,19.7,301.55,No,0,0,0,0.66
1699-UOTXU,0,60,Two year,61.4,3638.25,DSL,1,0,1,2.05
1702-CCFNJ,0,52,Month-to-month,61.35,3169.55,DSL,0,1,0,2.04
1703-MGIAB,0,17,Month-to-month,69.0,1108.0,DSL,0,1,1,2.3
1704-NRWYE,1,9,Month-to-month,80.85,751.65,Fiber optic,0,0,0,2.7
1705-GUHPV,0,63,Two year,24.2,1618.2,No,0,0,0,0.81
1707-HABPF,0,46,One year,91.3,4126.35,Fiber optic,0,0,1,3.04
1708-PBBOA,0,42,One year,54.75,2348.45,DSL,1,1,1,1.82
1709-EJDOX,0,47,Two year,19.75,948.9,No,0,0,0,0.66
1710-RCXUS,0,51,One year,90.35,4614.55,Fiber optic,0,0,0,3.01
1716-LSAMB,0,45,Two year,54.65,2553.7,DSL,1,1,0,1.82
1722-LDZJS,0,53,One year,20.2,1068.15,No,0,0,0,0.67
1723-HKXJQ,1,42,Month-to-month,101.75,4273.45,Fiber optic,0,0,0,3.39
1724-BQUHA,1,5,Month-to-month,89.5,477.7,Fiber optic,0,0,0,2.98
1724-IQWNM,0,1,Month-to-month,19.3,19.3,No,0,0,0,0.64
1725-IQNIY,1,54,Two year,109.75,6110.2,Fiber optic,1,1,1,3.66
1725-MIMXW,1,1,Month-to-month,19.45,19.45,No,0,0,0,0.65
1728-BQDMA,0,2,Month-to-month,44.45,82.7,DSL,0,0,0,1.48
1728-CXQBE,0,64,Month-to-month,94.25,6081.4,Fiber optic,0,0,1,3.14
1729-VLAZJ,0,10,One year,40.25,411.45,DSL,1,1,0,1.34
1730-VFMWO,0,34,Month-to-month,50.2,1815.3,DSL,0,1,0,1.67
1730-ZMAME,0,32,Month-to-month,79.5,2665.0,Fiber optic,0,0,0,2.65
1731-TVIUK,1,4,Month-to-month,93.5,362.2,Fiber optic,0,1,0,3.12
1732-FEKLD,0,54,One year,94.75,5121.75,Fiber optic,0,0,1,3.16
1732-VHUBQ,1,47,Month-to-month,70.55,3309.25,Fiber optic,0,0,0,2.35
1734-ZMNTZ,0,11,Two year,25.0,300.7,No,0,0,0,0.83
1735-XMJVH,0,8,Month-to-month,19.35,152.6,No,0,0,0,0.64
1740-CSDJP,1,1,Month-to-month,35.25,35.25,DSL,0,0,0,1.18
1741-WTPON,0,56,Two year,115.85,6567.9,Fiber optic,1,1,1,3.86
1744-JHKYS,0,34,Month-to-month,24.7,780.2,No,0,0,0,0.82
1746-TGTWV,0,1,Month-to-month,75.35,75.35,Fiber optic,0,0,1,2.51
1750-CSKKM,1,9,Month-to-month,55.35,449.75,DSL,0,0,0,1.84
1751-NCDLI,0,46,Month-to-month,98.85,4564.9,Fiber optic,0,0,1,3.3
1752-OZXFY,0,60,One year,59.8,3561.15,DSL,1,0,0,1.99
1754-GKYPY,0,22,Month-to-month,89.75,1938.9,Fiber optic,0,0,0,2.99
1755-FZQEC,0,39,One year,19.9,791.15,No,0,0,0,0.66
1755-RMCXH,0,2,Month-to-month,20.3,40.25,No,0,0,0,0.68
1757-TCATG,0,35,One year,20.05,746.75,No,0,0,0,0.67
1760-CAZHT,0,25,Month-to-month,20.8,460.2,No,0,0,0,0.69
1761-AEZZR,1,1,Month-to-month,79.55,79.55,Fiber optic,0,0,0,2.65
1763-KUAAW,0,18,One year,20.35,369.6,No,0,0,0,0.68
1763-WQFUK,0,3,Month-to-month,50.5,147.75,DSL,0,1,0,1.68
1764-VUUMT,0,66,Two year,19.95,1269.1,No,0,0,0,0.66
1766-GKNMI,0,29,Month-to-month,84.9,2516.2,Fiber optic,0,0,0,2.83
1767-CJKBA,0,66,Two year,25.1,1697.7,No,0,0,0,0.84
1767-TGTKO,0,8,Month-to-month,45.45,411.75,DSL,0,0,0,1.52
1768-HNVGJ,0,45,Month-to-month,70.05,3062.45,DSL,1,1,0,2.34
1768-ZAIFU,1,1,Month-to-month,25.2,25.2,DSL,0,0,0,0.84
1769-GRUIK,0,18,Month-to-month,71.1,1247.75,Fiber optic,0,0,0,2.37
1771-OADNZ,1,29,Month-to-month,95.9,2745.2,Fiber optic,0,0,1,3.2
1775-KWJKQ,0,72,Two year,89.85,6562.9,DSL,1,1,1,2.99
1776-SPBWV,0,34,One year,20.1,682.1,No,0,0,0,0.67
1777-JYQPJ,0,2,Month-to-month,24.3,38.45,DSL,0,0,0,0.81
1779-PWPMG,0,72,Two year,114.65,8333.95,Fiber optic,1,1,1,3.82
1784-BXEFA,0,10,Month-to-month,20.55,187.35,No,0,0,0,0.68
1784-EZDKJ,0,51,One year,106.8,5498.8,Fiber optic,0,0,1,3.56
1785-BPHTP,0,28,Month-to-month,85.45,2289.9,Fiber optic,0,0,1,2.85
1790-NESIO,0,13,Two year,20.4,261.3,No,0,0,0,0.68
1791-PQHBB,0,2,Month-to-month,61.2,125.95,DSL,1,0,0,2.04
1792-UXAFY,1,17,Month-to-month,89.15,1496.9,Fiber optic,0,0,1,2.97
1794-HBQTJ,1,1,Month-to-month,48.6,48.6,DSL,1,0,0,1.62
1794-SWWKL,0,15,Month-to-month,59.65,867.1,DSL,0,1,1,1.99
1796-JANOW,0,2,Month-to-month,19.95,38.15,No,0,0,0,0.66
1803-BGNBD,0,12,Month-to-month,54.3,654.5,DSL,0,1,0,1.81
1809-DMJHQ,1,5,Month-to-month,46.0,221.7,DSL,0,0,0,1.53
1810-BOHSY,0,51,One year,96.4,4911.05,Fiber optic,1,0,0,3.21
1810-MVMAI,0,30,Month-to-month,67.6,2000.2,DSL,1,1,1,2.25
1813-JLKWR,0,64,One year,19.8,1336.65,No,0,0,0,0.66
1813-JYWTO,0,72,Two year,80.45,5737.6,Fiber optic,1,0,0,2.68
1814-DKOLC,0,5,Month-to-month,25.45,134.75,No,0,0,0,0.85
1814-WFGVS,0,72,Two year,48.9,3527.0,DSL,1,1,1,1.63
1816-FLZDK,0,1,Month-to-month,29.15,29.15,DSL,0,1,0,0.97
1818-ESQMW,0,27,Month-to-month,89.2,2383.6,Fiber optic,0,1,1,2.97
1820-DJFPH,0,72,Two year,24.05,1709.15,No,0,0,0,0.8
1820-TQVEV,1,1,Month-to-month,69.55,69.55,Fiber optic,0,0,0,2.32
1821-BUCWY,0,30,Two year,55.65,1653.85,DSL,1,0,1,1.86
1830-GGFNM,0,65,Two year,94.55,6078.75,Fiber optic,1,1,1,3.15
1830-IPXVJ,0,61,Two year,19.75,1311.6,No,0,0,0,0.66
1832-PEUTS,0,62,Two year,89.1,5411.65,Fiber optic,0,0,1,2.97
1833-TCXKK,0,45,Month-to-month,107.75,4882.8,Fiber optic,0,0,1,3.59
1833-VGRUM,1,1,Month-to-month,74.2,74.2,Fiber optic,0,0,0,2.47
1834-ABKHQ,0,52,One year,50.95,2610.65,DSL,0,0,1,1.7
1834-WULEG,0,24,One year,20.25,439.75,No,0,0,0,0.68
1837-YQUCE,0,70,Two year,58.35,4214.25,DSL,1,1,1,1.94
1839-FBNFR,0,39,Two year,19.85,854.8,No,0,0,0,0.66
1839-UMACK,0,42,One year,25.05,949.85,No,0,0,0,0.84
1840-BIUOG,0,20,One year,68.7,1416.2,DSL,0,1,0,2.29
1841-YSJGV,0,72,Two year,109.95,7852.4,Fiber optic,1,1,0,3.66
1842-EZJMK,1,50,Month-to-month,103.7,5071.05,Fiber optic,0,1,0,3.46
1843-TLSGD,0,13,Two year,20.85,272.35,No,0,0,0,0.7
1845-CSBRZ,0,22,Month-to-month,85.35,1961.6,Fiber optic,0,0,0,2.84
1845-ZLLIG,0,1,Month-to-month,50.15,50.15,DSL,0,0,0,1.67
1846-XWOQN,1,1,Month-to-month,70.15,70.15,Fiber optic,0,0,0,2.34
1848-LBZHY,0,7,Month-to-month,50.3,355.1,DSL,1,0,0,1.68
1849-RJYIG,0,8,Month-to-month,60.0,487.75,DSL,1,0,0,2.0
1850-AKQEP,0,8,Month-to-month,20.35,178.7,No,0,0,0,0.68
1852-QSWCD,0,64,Two year,24.8,1514.85,No,0,0,0,0.83
1852-XEMDW,0,22,Month-to-month,65.05,1427.55,DSL,1,0,1,2.17
1853-ARAAQ,0,26,Month-to-month,50.35,1277.5,DSL,0,0,1,1.68
1853-UDXBW,1,1,Month-to-month,70.0,70.0,Fiber optic,0,0,0,2.33
1855-AGAWH,0,31,One year,93.8,2939.8,Fiber optic,0,0,1,3.13
1855-CFULU,0,4,Month-to-month,20.05,91.45,No,0,0,0,0.67
1862-QRWPE,0,48,Two year,20.65,1057.0,No,0,0,0,0.69
1862-SKORY,1,40,Month-to-month,39.3,1637.4,DSL,0,0,0,1.31
1866-DIOQZ,0,71,One year,66.8,4689.15,DSL,1,1,1,2.23
1866-NXPSP,0,36,One year,75.55,2680.15,DSL,1,1,1,2.52
1866-OBPNR,0,1,Month-to-month,74.6,74.6,Fiber optic,0,0,0,2.49
1866-RZZQS,1,41,Month-to-month,98.4,4187.75,Fiber optic,0,0,1,3.28
1866-ZSLJM,0,21,Month-to-month,20.5,402.85,No,0,0,0,0.68
1867-BDVFH,1,11,Month-to-month,74.35,834.2,Fiber optic,0,0,0,2.48
1867-TJHTS,0,58,Month-to-month,79.8,4526.85,Fiber optic,1,0,0,2.66
1871-MOWRM,1,12,Month-to-month,80.85,866.45,Fiber optic,1,1,0,2.7
1872-EBWSC,0,29,One year,20.35,617.35,No,0,0,0,0.68
1875-QIVME,1,2,Month-to-month,104.4,242.8,Fiber optic,0,1,1,3.48
1877-HKBQX,0,11,One year,54.6,617.85,DSL,1,1,0,1.82
1891-FZYSA,1,69,Month-to-month,89.95,6143.15,Fiber optic,0,0,0,3.0
1891-QRQSA,0,64,Two year,111.6,7099.0,Fiber optic,1,1,1,3.72
1891-UAWWU,1,20,Month-to-month,90.8,1951.0,Fiber optic,0,0,1,3.03
1894-IGFSG,1,22,Month-to-month,89.25,1907.85,Fiber optic,0,0,0,2.98
1895-QTKDO,0,1,Month-to-month,43.95,43.95,DSL,0,0,0,1.46
1897-OKVMW,0,64,Two year,90.6,5817.45,DSL,1,1,1,3.02
1897-RCFUM,0,39,One year,24.2,914.6,No,0,0,0,0.81
1898-JSNDC,0,39,One year,58.6,2224.5,DSL,0,0,0,1.95
1899-VXWXM,1,48,One year,106.1,5082.8,Fiber optic,0,0,1,3.54
1902-XBTFB,1,22,Month-to-month,89.4,2001.5,Fiber optic,0,0,1,2.98
1904-WAJAA,0,24,Two year,64.35,1558.65,DSL,1,0,1,2.14
1905-OEILC,0,1,Month-to-month,19.5,19.5,No,0,0,0,0.65
1907-UBQFC,1,10,Month-to-month,72.85,688.65,Fiber optic,0,0,0,2.43
1907-YLNYW,0,8,Month-to-month,66.7,579.0,DSL,1,0,1,2.22
1910-FMXJM,0,36,Month-to-month,80.4,2937.65,Fiber optic,0,0,0,2.68
1915-IOFGU,1,1,Month-to-month,70.5,70.5,Fiber optic,0,0,0,2.35
1915-OAKWD,0,16,One year,19.3,360.35,No,0,0,0,0.64
1918-ZBFQJ,1,13,Month-to-month,79.25,1111.65,Fiber optic,0,0,1,2.64
1919-RTPQD,0,7,Month-to-month,44.75,333.65,DSL,0,0,0,1.49
1921-KYSAY,0,41,One year,68.6,2877.05,DSL,0,1,1,2.29
1925-GMVBW,0,5,Month-to-month,20.55,96.1,No,0,0,0,0.68
1925-LFCZZ,0,55,One year,50.05,2743.45,DSL,0,0,1,1.67
1925-TIBLE,1,7,Month-to-month,86.5,582.5,Fiber optic,0,0,0,2.88
1926-QUZNN,0,72,Two year,25.25,1841.2,No,0,0,0,0.84
1927-QEWMY,0,72,Two year,20.5,1502.25,No,0,0,0,0.68
